idade,genero,pais,nivel_educacional,anos_programando,cargo_atual,anos_usando_ml,salario_anual_usd,linguagens_usadas,bancos_de_dados_usados,ferramentas_bi_usadas
22-24,Woman,India,Master’s degree,< 1 years,Data Scientist,Other,,Python;SQL;MATLAB,,
40-44,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Other,"125,000-149,999",Python;SQL,SQLite;MongoDB,
30-34,Woman,India,Master’s degree,5-10 years,Data Scientist,Medical/Pharmaceutical,,Python;SQL,,
22-24,Woman,India,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"5,000-7,499",Python;R;SQL;Java,MySQL;PostgreSQL,
35-39,Woman,Mexico,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"3,000-3,999",Python;C#;C++;Javascript,MongoDB,
25-29,Woman,India,I prefer not to answer,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,"7,500-9,999",Python;SQL,,
35-39,Woman,United States of America,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,,,
40-44,Woman,Other,I prefer not to answer,5-10 years,Data Scientist,Computers/Technology,"4,000-4,999",SQL,Microsoft SQL Server,
45-49,Woman,South Korea,Master’s degree,1-3 years,Data Scientist,Manufacturing/Fabrication,,Python,,
35-39,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,$0-999,Python;SQL,,
55-59,Woman,United States of America,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"70,000-79,999",Python;SQL,SQLite;Oracle Database,Tableau
40-44,Woman,United States of America,Bachelor’s degree,1-3 years,Data Engineer,Other,"100,000-124,999",Python;SQL,SQLite,
40-44,Woman,Other,Master’s degree,10-20 years,Data Scientist,Energy/Mining,"30,000-39,999",Python;Java,,
35-39,Woman,Czech Republic,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python;SQL,,
25-29,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,$0-999,Python;SQL,MongoDB,
45-49,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"10,000-14,999",Python,,
25-29,Woman,India,Bachelor’s degree,5-10 years,Data Scientist,Accounting/Finance,"4,000-4,999",Python;SQL;C;Java;Javascript,,
50-54,Woman,United States of America,Master’s degree,20+ years,Data Scientist,Accounting/Finance,,Python;SQL;C,,
25-29,Woman,Other,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,R,,
45-49,Woman,Mexico,Some college/university study without earning a bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,$0-999,SQL,,
55-59,Woman,Argentina,Bachelor’s degree,20+ years,Data Engineer,Broadcasting/Communications,"10,000-14,999",Python;SQL;Bash,,
35-39,Woman,United States of America,Bachelor’s degree,1-3 years,Data Scientist,Computers/Technology,"150,000-199,999",Python,SQLite;MongoDB,Tableau
30-34,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"125,000-149,999",SQL,,
45-49,Woman,Spain,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,$0-999,,,
25-29,Woman,Turkey,Master’s degree,5-10 years,Data Scientist,Online Service/Internet-based Services,"1,000-1,999",Python,SQLite,
45-49,Woman,United States of America,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,"70,000-79,999",,,
30-34,Woman,United Arab Emirates,Master’s degree,< 1 years,Data Scientist,Manufacturing/Fabrication,"3,000-3,999",Python,,
55-59,Woman,United States of America,Bachelor’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"25,000-29,999",Python;R;SQL;Javascript;Bash,,
35-39,Woman,Other,Doctoral degree,10-20 years,Data Scientist,Medical/Pharmaceutical,,Python;C;C++,,
25-29,Woman,India,Master’s degree,3-5 years,Data Scientist,Shipping/Transportation,"15,000-19,999",Python;SQL,,Looker
22-24,Woman,India,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,,,
25-29,Woman,Colombia,Doctoral degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"15,000-19,999",Python;SQL;Javascript,,
40-44,Woman,Argentina,Master’s degree,10-20 years,Data Scientist,Accounting/Finance,"30,000-39,999",Python;SQL,,
25-29,Woman,India,Master’s degree,1-3 years,Data Engineer,Computers/Technology,"10,000-14,999",Python;SQL;C++;Java;Javascript,MongoDB,
35-39,Woman,India,I prefer not to answer,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,SQL;C#,,
30-34,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Energy/Mining,"10,000-14,999",Python;SQL;C#,,
40-44,Woman,Poland,I prefer not to answer,3-5 years,Data Scientist,Insurance/Risk Assessment,"1,000-1,999",R;SQL,MySQL;PostgreSQL,Qlik Sense
30-34,Woman,India,Bachelor’s degree,1-3 years,Data Engineer,,,Python;Java;Javascript,,
25-29,Woman,United States of America,Some college/university study without earning a bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,">$1,000,000",Python,,
50-54,Woman,United States of America,Master’s degree,20+ years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"125,000-149,999",SQL,,
50-54,Woman,Other,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"20,000-24,999",,,
25-29,Woman,United States of America,Bachelor’s degree,1-3 years,Data Scientist,Online Service/Internet-based Services,"90,000-99,999",Python;SQL;Bash,SQLite,
22-24,Woman,China,I prefer not to answer,< 1 years,Data Scientist,Insurance/Risk Assessment,"1,000-1,999",Python;SQL;C++;MATLAB,PostgreSQL;SQLite,Google Data Studio;Tableau
25-29,Woman,Other,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"70,000-79,999",R;SQL,,
55-59,Woman,United States of America,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"80,000-89,999",R;SQL,,
30-34,Woman,Netherlands,Professional doctorate,5-10 years,Data Scientist,Non-profit/Service,"40,000-49,999",R,,
22-24,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000-14,999",Python;SQL;C;MATLAB,,
25-29,Woman,Turkey,Master’s degree,3-5 years,Data Scientist,Other,"40,000-49,999",Python;R;SQL,,Qlik Sense
40-44,Woman,Mexico,Bachelor’s degree,10-20 years,Data Engineer,Computers/Technology,"25,000-29,999",Python;SQL,MySQL;SQLite,
22-24,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python,,
25-29,Woman,India,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,,Python;R;SQL,,
40-44,Woman,United States of America,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"7,500-9,999",,,
35-39,Woman,United States of America,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;C;Java,,
25-29,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"1,000-1,999",Python;R;SQL;MATLAB,,
30-34,Woman,"Iran, Islamic Republic of...",Master’s degree,1-3 years,Data Scientist,Computers/Technology,$0-999,Python;R;SQL,,
35-39,Woman,India,Doctoral degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"1,000-1,999",Python,Snowflake,
30-34,Woman,Egypt,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,$0-999,Python;SQL,,
40-44,Woman,United States of America,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,,R;SQL,,
30-34,Woman,India,Master’s degree,10-20 years,Data Scientist,Shipping/Transportation,"100,000-124,999",Python;R,MySQL;PostgreSQL,
30-34,Woman,Other,Master’s degree,10-20 years,Data Scientist,Computers/Technology,"70,000-79,999",Python;SQL;Bash,,
30-34,Woman,United States of America,Master’s degree,3-5 years,Data Engineer,Retail/Sales,"125,000-149,999",Python;SQL;C;C#;Java,MySQL;SQLite,
50-54,Woman,France,Master’s degree,1-3 years,Data Scientist,Retail/Sales,"50,000-59,999",Python,,
35-39,Woman,United States of America,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"30,000-39,999",Python;R;SQL,SQLite;Oracle Database;MongoDB;Snowflake,
40-44,Woman,Israel,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"70,000-79,999",Python,,
25-29,Woman,Malaysia,Bachelor’s degree,< 1 years,Data Scientist,Non-profit/Service,$0-999,,,
35-39,Woman,Netherlands,Doctoral degree,5-10 years,Data Scientist,Accounting/Finance,"50,000-59,999",Python;SQL,,
25-29,Woman,India,Bachelor’s degree,1-3 years,Data Scientist,Retail/Sales,"125,000-149,999",Python,,
18-21,Woman,United Kingdom of Great Britain and Northern Ireland,Professional doctorate,5-10 years,Data Scientist,Insurance/Risk Assessment,"50,000-59,999",R;SQL;MATLAB;Julia,MySQL,
22-24,Woman,India,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000-14,999",Python;SQL;C++,,
25-29,Woman,United States of America,Doctoral degree,1-3 years,Data Scientist,Medical/Pharmaceutical,"50,000-59,999",Python,,
22-24,Woman,India,Bachelor’s degree,3-5 years,Data Scientist,Other,$0-999,Python;Java;MATLAB,,
35-39,Woman,Romania,Doctoral degree,3-5 years,Data Scientist,Manufacturing/Fabrication,"50,000-59,999",Python;SQL,SQLite,Tableau
25-29,Woman,Poland,Master’s degree,3-5 years,Data Scientist,Medical/Pharmaceutical,,Python,,
45-49,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"70,000-79,999",SQL,MongoDB,
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3-5 years,Data Scientist,Online Service/Internet-based Services,"90,000-99,999",Python;SQL,MongoDB,
30-34,Woman,Taiwan,I prefer not to answer,3-5 years,Data Engineer,Computers/Technology,"2,000-2,999",Python,,
35-39,Woman,Italy,Doctoral degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"30,000-39,999",Python,,
35-39,Woman,Russia,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,,,
25-29,Woman,United States of America,Master’s degree,< 1 years,Data Engineer,Computers/Technology,"80,000-89,999",Python;R;SQL,MySQL;PostgreSQL,Google Data Studio;Qlik Sense
30-34,Woman,"Iran, Islamic Republic of...",Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"2,000-2,999",SQL;C;C++,,
30-34,Woman,India,Bachelor’s degree,5-10 years,Data Scientist,Accounting/Finance,"10,000-14,999",C#,,
45-49,Woman,Argentina,I prefer not to answer,10-20 years,Data Scientist,Government/Public Service,$0-999,Python;SQL;C#,,
35-39,Woman,India,Doctoral degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,$0-999,Python;R;SQL;C;Java,,
18-21,Woman,India,Master’s degree,< 1 years,Data Scientist,Computers/Technology,,Python,,
22-24,Woman,India,I prefer not to answer,< 1 years,Data Scientist,Computers/Technology,"1,000-1,999",Python;SQL;MATLAB,,
35-39,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"1,000-1,999",Python;SQL,,
45-49,Woman,United States of America,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,,Python;SQL,,
45-49,Woman,Russia,I prefer not to answer,1-3 years,Data Scientist,Marketing/CRM,$0-999,Python;R;SQL,,
30-34,Woman,Singapore,Master’s degree,1-3 years,Data Scientist,Computers/Technology,"70,000-79,999",Python,,
35-39,Woman,Indonesia,Bachelor’s degree,< 1 years,Data Administrator,Manufacturing/Fabrication,$0-999,Python;SQL;Bash;MATLAB,,
45-49,Woman,Netherlands,Master’s degree,< 1 years,Data Engineer,Computers/Technology,,Python;SQL,,
25-29,Woman,China,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,,,
25-29,Woman,France,Master’s degree,3-5 years,Data Scientist,Computers/Technology,"50,000-59,999",Python;SQL;Bash,,
25-29,Woman,India,I prefer not to answer,< 1 years,Data Scientist,Computers/Technology,$0-999,Python,,
40-44,Woman,Canada,Doctoral degree,3-5 years,Data Scientist,Computers/Technology,"90,000-99,999",Python;SQL,,
22-24,Woman,India,Doctoral degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"5,000-7,499",Python;R;SQL;C;Java;PHP,MySQL;PostgreSQL,
30-34,Woman,South Africa,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"20,000-24,999",Python;R;SQL,,
35-39,Woman,Spain,Doctoral degree,10-20 years,Data Scientist,Computers/Technology,"30,000-39,999",Python;Bash,SQLite,
55-59,Woman,United States of America,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"4,000-4,999",SQL,,
25-29,Woman,Indonesia,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"7,500-9,999",Python;R,MongoDB,
40-44,Woman,Argentina,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000-14,999",Python;SQL;MATLAB,,
25-29,Woman,South Korea,Some college/university study without earning a bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"30,000-39,999",Python;R;SQL,Microsoft SQL Server,
25-29,Woman,Morocco,Professional doctorate,5-10 years,Data Scientist,Computers/Technology,$0-999,Python;SQL;C;Java;PHP,,
35-39,Woman,Argentina,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"10,000-14,999",R,,
22-24,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Computers/Technology,"125,000-149,999",Python,SQLite,
40-44,Woman,Hong Kong (S.A.R.),Master’s degree,10-20 years,Data Scientist,Accounting/Finance,"7,500-9,999",Python;SQL,MongoDB;Snowflake,
30-34,Woman,India,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,,Python;SQL,,
50-54,Woman,Other,Doctoral degree,5-10 years,Data Scientist,Broadcasting/Communications,"40,000-49,999",Python,,
40-44,Woman,Poland,Master’s degree,I have never written code,Data Administrator,Academics/Education,$0-999,,,
25-29,Woman,India,Bachelor’s degree,3-5 years,Data Scientist,Medical/Pharmaceutical,"30,000-39,999",Python,,
25-29,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"300,000-499,999",Python;SQL,,
25-29,Woman,India,Bachelor’s degree,3-5 years,Data Scientist,Accounting/Finance,"20,000-24,999",Python;SQL,,
25-29,Woman,United States of America,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,"70,000-79,999",Python;R,,
25-29,Woman,Zimbabwe,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,"5,000-7,499",Python;C;Bash,,
25-29,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"150,000-199,999",Python;SQL,MongoDB,
30-34,Woman,Other,Professional doctorate,1-3 years,Data Scientist,Computers/Technology,"1,000-1,999",Python;SQL,,
22-24,Woman,India,Master’s degree,1-3 years,Data Scientist,Academics/Education,"10,000-14,999",Python;R;SQL,MongoDB,
25-29,Woman,Indonesia,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"2,000-2,999",Python;SQL,MongoDB,
40-44,Woman,Nigeria,Doctoral degree,1-3 years,Data Scientist,Government/Public Service,"5,000-7,499",Python,,
25-29,Woman,India,Some college/university study without earning a bachelor’s degree,1-3 years,Data Scientist,Computers/Technology,"4,000-4,999",Python,PostgreSQL;SQLite;Oracle Database;Snowflake,Looker
30-34,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Insurance/Risk Assessment,,Python,SQLite,
22-24,Woman,Other,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,$0-999,Python,,
22-24,Woman,India,Bachelor’s degree,< 1 years,Data Scientist,Broadcasting/Communications,,Python;R;SQL,,
40-44,Woman,India,Professional doctorate,10-20 years,Data Scientist,Computers/Technology,"15,000-19,999",Python;Bash,,
40-44,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"100,000-124,999",Python,SQLite;MongoDB,
25-29,Woman,United States of America,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"60,000-69,999",Python;R;SQL;Javascript;PHP,,
55-59,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Accounting/Finance,"100,000-124,999",Python;C#,,
25-29,Woman,Nigeria,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,$0-999,,,
22-24,Woman,Pakistan,Master’s degree,1-3 years,Data Scientist,Other,,Python;SQL;C;Java;Javascript;PHP,,
22-24,Woman,India,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL;Javascript,,
25-29,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"15,000-19,999",Python,,
35-39,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"60,000-69,999",Python,,
30-34,Woman,United States of America,Master’s degree,< 1 years,Data Administrator,Non-profit/Service,"50,000-59,999",,,
30-34,Woman,China,Doctoral degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"1,000-1,999",Python;SQL,PostgreSQL,
40-44,Woman,India,I prefer not to answer,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,SQL,,
35-39,Woman,Brazil,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"1,000-1,999",Python;SQL,,
30-34,Woman,Other,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"70,000-79,999",Python;R;SQL,,
22-24,Woman,India,No formal education past high school,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,$0-999,SQL,,
22-24,Woman,Japan,Bachelor’s degree,1-3 years,Data Engineer,Marketing/CRM,"3,000-3,999",Python,Snowflake,
18-21,Woman,India,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"3,000-3,999",,,
40-44,Woman,United States of America,Bachelor’s degree,10-20 years,Data Scientist,Manufacturing/Fabrication,"150,000-199,999",R;SQL;Java,PostgreSQL,
30-34,Woman,Russia,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"10,000-14,999",Python,,
25-29,Woman,Mexico,Bachelor’s degree,< 1 years,Data Scientist,Shipping/Transportation,"7,500-9,999",Python;R,,
45-49,Woman,United States of America,Master’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;C;C++;Java,,
35-39,Woman,Japan,Bachelor’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python;SQL,,
30-34,Woman,United States of America,Master’s degree,1-3 years,Data Engineer,Computers/Technology,,Python;SQL,,
25-29,Woman,Japan,I prefer not to answer,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python;SQL;Javascript,,
30-34,Woman,Poland,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"40,000-49,999",SQL,,
30-34,Woman,Canada,Bachelor’s degree,10-20 years,Data Scientist,Computers/Technology,"80,000-89,999",Python;SQL,,
30-34,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Online Service/Internet-based Services,"200,000-249,999",Python;SQL;Bash,SQLite,
25-29,Woman,India,Master’s degree,10-20 years,Data Scientist,Computers/Technology,"5,000-7,499",Python;SQL;Javascript,,
22-24,Woman,India,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,$0-999,,,
30-34,Woman,India,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,$0-999,,,
40-44,Woman,United States of America,Doctoral degree,20+ years,Data Scientist,Online Service/Internet-based Services,"250,000-299,999",Python;SQL;C++;Bash,SQLite;Oracle Database;MongoDB,
30-34,Woman,Italy,Master’s degree,3-5 years,Data Scientist,Accounting/Finance,"20,000-24,999",Python;SQL,,
22-24,Woman,India,Professional doctorate,1-3 years,Data Scientist,Insurance/Risk Assessment,$0-999,Python;R;SQL;MATLAB,,
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,1-3 years,Data Scientist,Other,"60,000-69,999",Python;SQL,,
30-34,Woman,United States of America,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"60,000-69,999",Python;R,MongoDB,
30-34,Woman,United States of America,Master’s degree,3-5 years,Data Engineer,Government/Public Service,"90,000-99,999",Python;R;C#,,
25-29,Woman,Nigeria,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,$0-999,,,
25-29,Woman,India,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python,,
30-34,Woman,Other,Doctoral degree,10-20 years,Data Scientist,Online Service/Internet-based Services,"50,000-59,999",Python;R;SQL;C;MATLAB;Julia,MongoDB,
45-49,Woman,United States of America,Doctoral degree,20+ years,Data Scientist,Accounting/Finance,"125,000-149,999",Python;R;SQL,MySQL,Microsoft Power BI
40-44,Woman,United States of America,Doctoral degree,10-20 years,Data Scientist,Medical/Pharmaceutical,"150,000-199,999",Python;SQL;Bash,SQLite;Oracle Database,
35-39,Woman,India,Master’s degree,1-3 years,Data Scientist,Computers/Technology,"300,000-499,999",Python;SQL,PostgreSQL,Tableau
30-34,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Retail/Sales,"150,000-199,999",Python;SQL,MongoDB,
30-34,Woman,India,I prefer not to answer,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,$0-999,Python;SQL,,
22-24,Woman,Nigeria,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,$0-999,Python,,
25-29,Woman,India,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"3,000-3,999",Python;SQL;C++;Java;Javascript,PostgreSQL;SQLite;MongoDB,Qlik Sense
25-29,Woman,Romania,Master’s degree,3-5 years,Data Scientist,Computers/Technology,"20,000-24,999",Python,,
25-29,Woman,China,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,$0-999,Python;SQL,,
30-34,Woman,Brazil,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"5,000-7,499",Python,,
25-29,Woman,Tunisia,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,"5,000-7,499",Python;C;C++;Java;PHP,,
22-24,Woman,Canada,Master’s degree,3-5 years,Data Scientist,Insurance/Risk Assessment,"70,000-79,999",Python,,
30-34,Woman,India,Master’s degree,5-10 years,Data Scientist,Online Service/Internet-based Services,"30,000-39,999",Python;Java,,
35-39,Woman,Germany,Doctoral degree,5-10 years,Data Scientist,Broadcasting/Communications,"40,000-49,999",Python,,
22-24,Woman,India,No formal education past high school,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,$0-999,C++;Javascript,,
22-24,Woman,India,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"3,000-3,999",,,
25-29,Woman,United States of America,Master’s degree,1-3 years,Data Scientist,Marketing/CRM,"40,000-49,999",Python;R;SQL,,
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,"30,000-39,999",Python;SQL,,
25-29,Woman,United States of America,Bachelor’s degree,I have never written code,Data Administrator,Energy/Mining,"60,000-69,999",,,
22-24,Woman,Russia,Bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"1,000-1,999",Python,,
45-49,Woman,Italy,Master’s degree,< 1 years,Data Engineer,Non-profit/Service,"20,000-24,999",SQL;PHP,,
25-29,Woman,Other,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,$0-999,Python;C#;C++;Java,,
40-44,Woman,Turkey,Doctoral degree,10-20 years,Data Scientist,Government/Public Service,"60,000-69,999",Python;R;SQL;C;C++;MATLAB,MySQL;MongoDB,Qlik Sense
45-49,Woman,Sri Lanka,Master’s degree,10-20 years,Data Scientist,Computers/Technology,$0-999,Python;Java,PostgreSQL,
25-29,Woman,India,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,,,
22-24,Woman,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"7,500-9,999",Python;SQL;MATLAB,,
25-29,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Computers/Technology,"300,000-499,999",Python;SQL,SQLite,
35-39,Woman,Argentina,Doctoral degree,10-20 years,Data Scientist,Accounting/Finance,"10,000-14,999",Python;SQL;Java,,
45-49,Woman,United States of America,Doctoral degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,,,
